ID,followers,posts,avatar,max_comments,min_comments,mean_comments,max_likes,min_likes,mean_likes
tensegritt,492,383,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/16465765_164851447349029_2261079051873550336_a.jpg,7,0,2.66666666667,66,21,39.25
crosspens,17711,396,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/11875565_1659532930954466_335833299_a.jpg,124,0,11.0833333333,201,63,113.75
fashionablyflexy,3510,736,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/13108983_1769569519933151_741819474_a.jpg,14,0,5.66666666667,143,38,90.5
fabioattanasio,166814,2490,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/11848914_1645720699048422_316092469_a.jpg,42,4,19.3333333333,2618,882,1772.58333333
carolinedemaigret,598092,4125,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/14677249_343508879342191_6875677637948211200_a.jpg,112,15,52.25,13116,1345,6973.91666667
tworedbowls,121787,531,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/11032983_951219751577480_344712909_a.jpg,46,20,34.6666666667,4705,1483,2450.0
annstreetstudio,131055,5504,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/11375413_888144464609818_668960325_a.jpg,51,1,19.1666666667,3545,662,1845.58333333
dennielias,104992,3467,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/17881910_401628200222316_2730022831294251008_a.jpg,43,3,14.4166666667,1198,338,807.333333333
mamawatters,259438,4661,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/17587451_1287559977987819_2847034125737525248_a.jpg,257,47,117.666666667,12874,3126,6121.83333333
alfskiii,5233,651,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/13696953_1162403500469093_2013715977_a.jpg,20,0,8.0,386,69,212.416666667
zarainternational,339851,1469,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/16123005_251490481944267_4093573363207766016_n.jpg,72,22,44.1666666667,7707,1166,4405.5
roco_runs,88308,1876,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/10593487_704846156273080_1282354896_a.jpg,13,2,6.83333333333,3016,580,894.833333333
latonyayvette,42165,2497,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/15876172_575413759316867_5018630733749551104_a.jpg,45,4,20.6666666667,1823,294,1069.58333333
marcustroy,32796,8567,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/15802181_1883156295251978_120450742908616704_a.jpg,23,0,7.91666666667,481,174,332.416666667
averysay,3179,817,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/17882918_1148048695306818_2108235815942356992_a.jpg,22,2,12.9166666667,316,81,214.916666667
lenadunham,3204221,2825,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/15802423_402972260039991_5280985237612920832_n.jpg,2776,85,818.25,162713,9906,61514.75
theurbanspotter,249346,5765,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/10598551_687668557986433_250897894_a.jpg,27,8,14.75,3927,771,1368.83333333
carriec,77611,2200,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/17819063_270742446719786_5409803697800609792_a.jpg,450,64,150.75,4479,1362,2273.58333333
malinandgoetz,21485,1025,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/12070657_743913239074777_1073095868_a.jpg,12,3,6.91666666667,300,122,209.833333333
filxiaobai,74730,787,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/14504661_183727442068731_4235965749706883072_a.jpg,25,1,7.0,1327,435,823.75
ftlauderdalesun,16220,14354,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/11410397_450196188499678_236242940_a.jpg,2,0,0.75,418,121,227.416666667
ihateblonde,130207,5349,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/17438137_252791988463703_1748507776344129536_a.jpg,150,61,111.5,3231,944,1563.25
menwithclass,3948983,4107,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/10843770_1618841305011094_308185276_a.jpg,263,79,144.416666667,39709,19804,28844.0
a_southerndrawl,142507,4666,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/15538892_364370613921069_8404630757749817344_a.jpg,62,12,33.9166666667,3809,525,1853.75
jasonwu,355631,1628,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/12716973_1689135281369191_1234381782_a.jpg,16,2,7.25,1454,98,962.75
desserts.club,99695,183,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/16228668_1073153176146115_234861284330307584_a.jpg,86,12,37.0833333333,13918,2422,8420.16666667
sarah_nait,20663,367,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/12935045_706180862818734_177545541_a.jpg,12,0,4.66666666667,1036,224,534.416666667
bostoncommag,16833,822,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/13398615_1206224469388751_1370250286_a.jpg,16,1,5.66666666667,420,155,258.583333333
7assansalem,336,51,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/16789825_270465863373659_6881540530300256256_a.jpg,5,0,1.25,60,13,35.1666666667
caraloren,713143,3092,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/s150x150/17439180_135612190301016_494574984602058752_a.jpg,225,46,107.25,34896,5672,15026.9166667
prconsulting,26951,3757,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/917558_956566487751686_1633743302_a.jpg,9,1,3.83333333333,402,75,175.166666667
sarahkjp,436478,3379,https://instagram.fsnc1-1.fna.fbcdn.net/t51.2885-19/11371070_1029558353745000_318428928_a.jpg,2416,31,274.416666667,16033,7232,12219.3333333
